Name,Rating,Address
Sri Vishnu Palace,"4.1(4,759)","# 39/3, junction, Doddanekkundi, Bengaluru, Karnataka 560037"
Chulha Chauki Da Dhaba - Authentic North Indian Food | Mahadevapura,"4.4(16,274)","No. 62/2, Chinnappa Reddy Rd, Hobli, Doddanekundi, Krishnarajapuram, Bengaluru, Karnataka 560036"
NH47 Kerala Kitchen,"3.8(1,390)","Mahadevapura, Bengaluru, Karnataka 560037"
Brunchilli,3.9(571),"39/5, Outer Ring Rd, Brindavan Extension, Doddanekundi, Marathahalli, Bengaluru, Karnataka 560037"
Punjab Bistro,"4.4(1,117)","No. 62/2, 1st Floor, Outer Ring Rd, above Nexa Car Showroom, Mahadevapura, Bengaluru, Karnataka 560037"
Friends multi cuisine restaurant,4.5(16),"XMPW+XV2, Goshala Rd, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048"
Basaveshwara Khanavali,"4.1(1,213)","XMHW+Q73, Ferns City Road, Karthik Nagar, Ferns City, Doddanekkundi, Bengaluru, Karnataka 560048"
Andhra Biryanis,"3.9(1,280)","#8,1st Floor, Srikar Arcade, beside Constellation Business Park, Doddanekkundi, Bengaluru, Karnataka 560048"
ISIRI Resto Bar - Theme Restaurant,"4.5(11,739)","Doddanekundi Junction, Outer Ring Rd, Doddanekkundi, Bengaluru, Karnataka 560037"
Gilly's Restobar - Mahadevapura,"3.9(5,124)","Opposite EMC2 Corporation, From Marathalli to K R Puram, 62/02, Outer Ring Rd, Doddanekkundi, Mahadevapura, Bengaluru, Karnataka 560037"
Naivedhya Tiffin's,4.3(652),"Site No. C14, Sy. No. 39/4, Ground Floor, Fern City Road, Outer Ring Rd, Doddanekkundi, Bengaluru, Karnataka 560037"
Bengaluru Circle | Restaurants in Doddanekundi | Bars in Doddanekundi,4.8(322),"No 5 & 6, Alpine Eco Rd, next to Apollo pharmacy, Ferns City, Chinnappanahalli, Doddanekkundi, Bengaluru, Karnataka 560037"
Sri Udupi Park,"4.0(5,055)","SY NO 6, 1C, Outer Ring Rd, Brindavan Extension, Chinappa Layout, Mahadevapura, Bengaluru, Karnataka 560037"
Dindigul Thalappakatti Restaurant,4.5(482),"2,67, 1, Whitefield Main Rd, No 66, Garudachar Palya, Bengaluru, Karnataka 560034"
Infinity Family Restaurant,3.8(637),"Akamma Gowda Complex, 20/4, Outer Ring Rd, near Cake Palace bakery, Saraswathi Nagar, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560048"
Haldiram's - Mahadevapura (Cloud Kitchen),4.6(946),"Unit No.66/2, and 67/1, Garudacharpaly Whitefield Main Road, 72, Goshala Rd, Brigade Metropolis, Kaveri Nagar, Mahadevapura, Bengaluru, Karnataka 560048"
Nandhana Palace - Andhra Style Restaurant - Mahadevapura,"4.6(3,647)","No 1,2nd Floor, Shreyas Complex, Whitefield Main Rd, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048"
GARUDA FOOD ZONE,4.4(46),"Goshala Rd, opposite Oxford English School, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048"
The Creek,"4.1(1,904)","The DEN Hotel, ITPL Main Rd, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066"
BLR37 Bar & Kitchen,4.1(434),"38/3, Outer Ring Rd, Doddanekkundi, Mahadevapura, Bengaluru, Karnataka 560037"
Vamika Tiffins,4.4(53),"Mahadevapura, Bengaluru, Karnataka 560048"
